12,3,0,0,0,0,0,1,0,1,0,0,1.5850,0.0000,2,2,0,1,0,0,0,0,0,0,f
14,2,0,0,0,0,0,2,0,0,0,0,-0.0000,0.0000,2,2,0,0,0,0,0,0,0,0,f
33,7,0,0,0,0,0,3,0,1,0,1,1.8424,0.0000,2,2,0,0,0,0,0,0,0,0,o
30,7,0,0,0,0,0,0,0,3,0,1,1.4488,0.1667,2,2,0,0,1,0,0,0,0,0,o
13,2,1,0,0,0,0,2,0,0,0,0,1.0000,1.0000,2,2,0,0,0,0,0,0,0,0,o
19,4,0,0,0,0,0,1,0,2,0,0,1.5000,0.3333,2,2,0,0,1,0,0,0,0,0,o
25,7,0,0,0,0,0,1,1,1,0,1,2.5216,0.0000,2,2,0,0,1,0,0,0,0,0,f
13,2,0,0,0,0,0,2,0,0,0,0,-0.0000,0.0000,2,2,0,0,0,0,0,0,0,0,f
36,6,0,0,0,0,0,2,1,1,0,0,2.2516,0.0000,2,2,0,0,0,0,0,1,0,0,f
22,5,0,0,0,0,0,1,0,2,0,1,1.9219,0.0000,2,2,0,0,0,0,0,0,0,0,f
34,7,0,0,0,0,0,6,0,0,0,0,1.1488,0.7500,2,2,0,0,0,0,0,1,0,0,o
19,3,0,0,0,0,0,1,0,2,0,0,0.9183,0.5000,2,2,1,1,0,0,0,0,0,0,f
29,6,0,1,0,0,0,1,0,1,0,1,2.2516,0.0000,2,2,0,1,0,1,0,0,0,0,f
14,3,0,0,0,0,0,0,0,2,0,0,0.9183,0.0000,2,2,0,0,1,0,0,0,0,0,o
22,5,0,0,0,0,0,3,0,1,0,0,1.3710,0.2500,2,2,0,1,0,0,0,0,0,0,o
23,4,0,0,0,0,0,2,0,1,0,0,1.5000,0.3333,2,2,0,0,0,0,0,0,0,0,o
21,5,0,0,0,0,0,1,0,1,0,1,1.9219,0.0000,2,2,0,0,0,0,0,0,0,0,o
31,7,0,0,0,0,0,2,1,0,1,0,2.5216,0.1667,2,2,0,1,1,0,1,0,0,0,f
37,7,0,0,0,0,0,2,0,2,0,1,2.2359,0.0000,2,2,0,0,0,0,0,0,0,0,f
14,3,0,1,0,0,0,0,1,0,0,0,1.5850,0.0000,2,2,0,0,0,0,0,0,0,0,o
18,3,0,0,0,0,0,0,0,2,1,0,0.9183,0.5000,2,2,0,0,0,0,1,0,0,0,o
23,5,0,0,0,0,0,1,0,1,1,0,2.3219,0.0000,2,2,1,0,0,0,1,0,0,0,f
20,4,0,0,0,0,0,2,0,1,0,0,1.5000,0.0000,2,2,0,1,0,0,0,0,0,0,o
16,2,0,1,0,0,0,1,0,0,0,0,1.0000,1.0000,2,2,0,0,0,1,0,0,0,0,f
